site_id,product_id,period_id,value
PS_013,P_135,1,0.0
PS_013,P_135,2,0.0
PS_013,P_135,3,0.0
PS_013,P_277,1,0.0
PS_013,P_277,2,0.0
PS_013,P_277,3,0.0
PS_013,P_317,1,0.0
PS_013,P_317,2,0.0
PS_013,P_317,3,0.0
PS_039,P_135,1,0.0
PS_039,P_135,2,0.0
PS_039,P_135,3,0.0
PS_039,P_277,1,0.0
PS_039,P_277,2,0.0
PS_039,P_277,3,0.0
PS_039,P_317,1,0.0
PS_039,P_317,2,0.0
PS_039,P_317,3,0.0
PS_042,P_135,1,0.0
PS_042,P_135,2,0.0
PS_042,P_135,3,0.0
PS_042,P_277,1,0.0
PS_042,P_277,2,0.0
PS_042,P_277,3,0.0
PS_042,P_317,1,0.0
PS_042,P_317,2,0.0
PS_042,P_317,3,0.0
PS_044,P_135,1,0.0
PS_044,P_135,2,0.0
PS_044,P_135,3,0.0
PS_044,P_277,1,0.0
PS_044,P_277,2,0.0
PS_044,P_277,3,0.0
PS_044,P_317,1,0.0
PS_044,P_317,2,0.0
PS_044,P_317,3,0.0
PS_047,P_135,1,0.0
PS_047,P_135,2,0.0
PS_047,P_135,3,0.0
PS_047,P_277,1,0.0
PS_047,P_277,2,0.0
PS_047,P_277,3,0.0
PS_047,P_317,1,0.0
PS_047,P_317,2,0.0
PS_047,P_317,3,0.0
